R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,1.361727836,0.477121255,3.435969914,2.033423755,0.477121255,3.77815871,1.698970004,0.477121255,4.019044333
0,0,0,0,0,0,1.176091259,0,3.229092829,0,0,0
0,0,0,0,0,0,2.025305865,0,3.494802604,0,0,0
0,0,0,1.792391689,0,3.193124598,2.068185862,0,3.6787818,1.986771734,0,3.738438536
0,0,0,0,0,0,1.591064607,0,3.414484116,0,0,0
2.195899652,0,3.470332309,0,0,0,0,0,0,2.243038049,0.301029996,3.698166673
1.255272505,0.301029996,3.455484726,1.079181246,0,3.679763559,0,0,0,0,0,0
1.792391689,0.477121255,4.100333751,0,0.477121255,3.835731747,1.785329835,0.477121255,3.767345243,0.903089987,0.698970004,4.083458387
1.740362689,0,2.662948622,1.643452676,0,3.679763559,1.875061263,0,3.741403917,2.075546961,0,3.738438536
2.204119983,0,3.695294464,0,0,0,0,0,0,0,0,0
0,0,0,2.220108088,0.301029996,3.451543032,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.301029996,0.301029996,4.126836495
0,0,0,0,0,0,2.136720567,0,3.6787818,1.755874856,0,3.680335513
2.235528447,0,3.044363577,1.995635195,0,3.050596269,1.954242509,0,3.100703083,2.004321374,0.602059991,3.782873992
0,0,0,1.832508913,0.301029996,3.529567004,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.633468456,0,3.408333676
0,0,0,0,0,0,1.73239376,0,3.696179214,0,0,0
0,0,0,0,0,0,1.785329835,0,3.596607567,1.892094603,0,3.773786445
0,0,0,1.278753601,0,3.654636843,1.662757832,0.301029996,3.647079626,0,0,0
0,0,0,1.799340549,0.602059991,3.846845153,1.255272505,0.301029996,3.519493709,1.995635195,0,3.43085674
1.973127854,0.477121255,3.672595743,0,0,0,0,0,0,1.447158031,0,3.408333676
2.017033339,0,3.431117466,0,0,0,0,0,0,0,0,0
1.826074803,0,3.355710667,1.146128036,0.301029996,4.18614154,0,0.602059991,4.40644542,1.447158031,0.698970004,4.314551292
0,0,0,0.954242509,0,3.133538908,0,0,0,0,0,0
1.681241237,0.477121255,3.886390246,0,0,0,1.278753601,0.301029996,3.709655704,1.568201724,0,3.490800952
1.62324929,0.602059991,3.901180772,1.880813592,0,3.407626509,0,0,0,1,0.301029996,3.613688835
2.11058971,0,3.457252193,0,0,0,2.033423755,0,3.695252975,2.206825876,0.301029996,3.703883728
1.908485019,0.301029996,3.267048676,0.954242509,0.698970004,3.878687794,0.77815125,0.477121255,3.944453348,0,0,0
0,0,0,0,0,0,1.612783857,0,3.414484116,0,0,0
0,0,0,0,0,0,0,0,0,1.986771734,0.301029996,3.697271656
1.230448921,0.698970004,3.91716143,0,0.301029996,3.426993929,0,0,0,0,0,0
0,0,0,0,0,0,1.986771734,0,3.115372737,2.103803721,0,3.305918004
1.544068044,0.477121255,4.184750338,0,0,0,2.053078443,0,3.630133781,0,0,0
2.201397124,0,3.076439257,0,0,0,0,0,0,0,0,0
1.69019608,0,3.480649404,0,0,0,0,0,0,0,0,0
2.217483944,0,3.473735257,0,0,0,0,0,0,1.431363764,0,3.68136802
1.301029996,0.301029996,3.508912891,0,0,0,0,0,0,0,0,0
