R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
0,0,0,0,0,0,0,0,0,1.531478917,0.301029996,3.659774422
0,0,0,1.792391689,0,2.662948622,0,0,0,0,0,0
0,0,0,2.184691431,0.301029996,3.427605237,0,0,0,2.217483944,0,3.153012526
1.880813592,0.301029996,3.631182787,1.973127854,0,3.474596156,1.959041392,0.301029996,3.550734191,2.220108088,0,3.419721329
1.672097858,0,3.63647902,0,0,0,0,0,0,0,0,0
1.826074803,0.301029996,3.935495168,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.77815125,0,3.097725445,0,0,0
0,0,0,0,0,0,2.220108088,0.301029996,3.451543032,0,0,0
2.255272505,0,4.153308111,0,0,0,0,0,0,0,0,0
0.698970004,0,3.457454962,0,0,0,0,0,0,0,0,0
0,0,0,2.133538908,0,3.13008747,0,0,0,0,0,0
0,0,0,2.033423755,0.301029996,3.172705261,0,0,0,0,0,0
0,0,0,1.579783597,0.477121255,3.519651466,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.033423755,0,2.931339283
0,0,0,0,0,0,0,0,0,2.214843848,0,3.315926935
0,0,0,1.897627091,0,3.390383061,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.146128036,0,3.017196484
0,0,0,2.123851641,0,3.431117466,1.322219295,0.301029996,3.580780833,0,0,0
0,0,0,1.880813592,0.301029996,2.990682227,1.69019608,0,3.139879086,1.954242509,0.301029996,3.588271707
0,0,0,0,0,0,0,0,0,2.235528447,0,3.107430542
1.477121255,0.301029996,3.594763724,0,0,0,0,0,0,0,0,0
0,0,0,2.195899652,0,3.076439257,2.238046103,0,3.164283539,1.959041392,0,3.783903579
2.252853031,0,3.375156861,0,0,0,0,0,0,2.068185862,0,3.39707055
0.903089987,0.903089987,4.258581407,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.832508913,0.301029996,3.529567004,0,0,0
0,0,0,0,0,0,0,0,0,2.201397124,0,3.245512668
1.982271233,0,3.375156861,0,0,0,0,0,0,1.73239376,0,3.696179214
0,0,0,1.612783857,0,2.662948622,0,0,0,1.612783857,0.477121255,3.95679186
0,0,0,0,0,0,1.278753601,0,3.654636843,1.662757832,0.301029996,3.647079626
0,0,0,2.100370545,0,3.379124146,0,0,0,0,0,0
0,0,0,2.100370545,0,3.379124146,0,0,0,0,0,0
0,0,0,2.155336037,0.301029996,3.303169124,0,0,0,0,0,0
0,0,0,0,0,0,0,0.301029996,3.720989645,0,0,0
0,0,0,0,0,0,1.799340549,0.477121255,3.43358179,0,0,0
0,0,0,2.11058971,0,3.379124146,0,0,0,0,0,0
2.181843588,0,3.482675522,2.123851641,0,3.607208725,0,0,0,0,0,0
2.217483944,0,3.181645527,2.017033339,0,3.431117466,0,0,0,0,0,0
1.77815125,0.301029996,3.880366288,0,0,0,1.079181246,0,3.679763559,0.698970004,0.301029996,3.834454005
0,0,0,0,0,0,0,0,0,1.672097858,0.301029996,3.398100539
