B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4,Y
0.301029996,2.253334979,0,-0.301029996,0,0,0,0,0,0,3.407626509,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,3.408239965,0,0,0,0,0,0,N
0,0,0,0,0.301029996,1.565250238,0,-0.301029996,0,0,0,0,0,0,0,0,N
0.477121255,3.732794499,1.572988069,0.124938736,0,0,0,0,0,0,0,0,0.301029996,0,2.927724531,-0.301029996,N
0,0,0,0,0,0.917478555,0,0,0,0,0,0,0,0,2.329279291,0,N
0,0,0,0,0,3.089745848,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.038989266,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.371927343,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.545111861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.477121255,2.679303711,1.554364975,-0.176091259,0.301029996,1.15455003,2.694390395,0.176091259,0,0,1.419957309,0,0,0,1.274605029,0,N
0,0,0,0,0,3.163475845,0,0,0,0,0,0,0,0,0,0,N
0.602059991,2.459855906,2.199065602,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.966959257,2.612356922,0.602059991,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,1.448512582,0.604149544,0.698970004,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.169302314,0,0,0,0,0,0,0,0,0,0,N
0,1.068974453,0,0.301029996,0,0,0,0,0,0,0,0,0,0,3.11916598,0.301029996,N
0,0,0,0,0,0,0,0,0,3.045222966,0,0,0,1.848124438,3.034074709,0.477121255,N
0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.067417356,0,0,0,0,0,0,0,0,0,0,0,0,2.892742613,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.492432941,1.451040255,0,N
0,2.627481659,0,0.477121255,0,0,0,0,0.301029996,0,3.751993578,0,0,0,0,0,N
0,0,0,0,0,1.538717326,0,0,0,0,0,0,0,3.139879086,0,0,N
0,0,0,0,0,3.059895921,0,0.301029996,0,0,0,0,0,1.55197251,0,0,N
0,0,0,0,0,2.921132811,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,3.13008747,0,0,0,0,0,0,0,0,0,0,N
0,4.1752218,0,0,0.477121255,3.380150919,2.732613372,-0.176091259,0,0,0,0,0,0,2.931339283,0,N
0,0,0,0,0,3.371927343,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,2.051579578,0,0.301029996,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.39707055,0,0,N
0,0,0,0,0.301029996,2.832508913,0,-0.301029996,0,0,0,0,0,0,2.307914486,0,N
0,0,0,0,0,2.665666582,0,0,0,0,0,0,0,0,1.548427303,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,3.48296647,0,0.301029996,N
0.477121255,0.946909952,0,-0.477121255,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,2.714808585,0,0,0,0,0,0,0.301029996,2.721016662,0,0,N
0,3.077488135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,1.063349839,0,0.301029996,0.477121255,2.882381107,2.484441098,-0.176091259,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0.882881597,0,0,0,0,0,0,N
0,2.005554268,0,0,0,0.408111828,1.080128673,0.301029996,0,0,0,0,0,0,3.118691333,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,1.011608885,0,0,N
0,2.901396876,0,0,0,0,0,0,0,3.407626509,3.097725445,0.301029996,0,0,0,0,N
0,3.038989266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,1.167077261,0,0,0,0,0,0,N
0,0,0,0,0.477121255,2.554162206,0,-0.477121255,0,0,0,0,0,0,0,0,N
0,3.656963967,0,0,0,2.932066137,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.919949295,0,-0.301029996,N
0.698970004,2.099100825,0,-0.22184875,0.698970004,1.484359664,0,-0.698970004,0,0,0,0,0,0,0,0,N
0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.21987877,0,-0.301029996,0.301029996,2.996614002,2.695584007,0,0,3.134175291,0,0.301029996,0,0,0,0,N
0,1.964606265,0,0,0,1.233010103,1.057606881,0.477121255,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,3.731863959,0,-0.301029996,N
0,2.025298326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
