B1,I1,C1,P1,R1,F1,M1,B2,I2,C2,P2,R2,F2,M2,B3,I3,C3,P3,R3,F3,M3,B4,I4,C4,P4,R4,F4,M4,Y
0,0,0,0,0,0,0,0,2.706289848,0,0,2.123851641,0,3.183411103,0,3.407626509,0,0,1.568201724,0,3.407626509,0,0,0,0,0,0,0,N
0,3.149295725,0,0,1.505149978,0,3.149295725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,1.704032602,1.22053252,0.903089987,0.84509804,0.903089987,3.77669792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.979957039,0.301029996,2.033423755,0.301029996,3.457078293,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.245512668,0,0,1.954242509,0,3.245512668,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.301029996,1.326402022,0,-0.301029996,1.591064607,0,3.409187392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.268157915,0,0,1.431363764,0,3.268157915,N
0,0,0,0,0,0,0,0,2.015838581,0,0,2.217483944,0,2.714808585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.390367187,0,0.301029996,2.117271296,0.301029996,3.390367187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.895533495,0,0,1.740362689,0,2.895533495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.852278116,0,0,2.255272505,0,3.852278116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.13008747,0,0,2.136720567,0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,1.265848754,0,0,2.004321374,0,3.163475845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.26462429,0,0.301029996,2.045322979,0.301029996,3.26462429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.138173761,0,0,2.139879086,0,3.138173761,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794480012,0,0,1.113943352,0,3.017196484,N
0.301029996,3.377563083,0,0,1.278753601,0.301029996,3.57777654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,2.837174669,0,-0.301029996,1.255272505,0,3.138204664,0,1.936657335,0.983583301,0.477121255,1.322219295,0.477121255,3.175321872,0,0,0.723003671,0,1.892094603,0,3.395970697,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.157794352,0,0,1.949390007,0,3.130922206,0,0,0,0,0,0,0,N
0,1.47866187,0,0,2.146128036,0,3.112130326,0,0,0,0,0,0,0,0,0,1.07996266,0,2.167317335,0,3.139879086,0,0,0,0,0,0,0,N
0.602059991,1.681599667,0,-0.301029996,0.77815125,0.301029996,3.625019102,0,0,0,0,0,0,0,0,0,1.042138524,0,1.763427994,0,3.106596513,0,3.115372737,3.118691333,0.301029996,2.017033339,0.301029996,3.418065201,N
0,1.818032448,0,0.477121255,2.068185862,0.477121255,3.637576383,0.602059991,2.033218473,0,-0.124938737,1.973127854,0.477121255,3.84613183,0,0,3.140405056,0,2.045322979,0,3.140405056,0,0,0,0,0,0,0,N
0,1.077636521,0,0,1.041392685,0,3.302945803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.698970004,3.362491695,0,-0.602059991,2.252853031,0,3.66352169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.602059991,3.128361453,0,-0.301029996,2.206825876,0,3.128361453,0.301029996,2.696444905,0,-0.301029996,2.146128036,0,3.17356616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.105250878,0,0.698970004,0.77815125,0.698970004,4.328716314,0,1.99311798,1.711691286,0.698970004,1.662757832,0.698970004,4.063771235,0,0,0,0,0,0,0,0.301029996,3.237808209,1.050980118,0.176091259,1.633468456,0.477121255,4.082312467,N
0,0,0,0,0,0,0,0,3.493004698,0,0,1.792391689,0,3.493004698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.297643998,0,0,2.217483944,0,3.297643998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.852278116,0,0,1.977723605,0,3.852278116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,1.445399565,0,0,1.944482672,0,3.409187392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.315926935,0,0,2.214843848,0,3.315926935,N
0,0,0,0,0,0,0,0.477121255,2.953996211,2.739114422,0,1.913813852,0.477121255,3.901051039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061656901,0,0,1.812913357,0,3.133538908,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,2.794054895,1.59695077,0.698970004,1.919078092,0.698970004,3.93605683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.69567455,0,0.176091259,1.505149978,0.477121255,3.729213907,N
0,3.179842713,0,0,1.477121255,0,3.179842713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0.301029996,3.866511467,0,0.176091259,1.838849091,0.477121255,4.170770805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.054680671,0,0,1.799340549,0,3.355710667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.301029996,2.200468846,0,0,2.187520721,0.301029996,3.193833837,0,0,2.710415354,0,2.068185862,0,3.011445349,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.477121255,1.917432756,0,-0.477121255,1.991226076,0,3.172705261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.016042646,0,0,2.100370545,0,3.379124146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.301029996,3.153788186,0,-0.301029996,2.049218023,0,3.153788186,0.477121255,1.122322034,1.569318371,-0.176091259,1.851258349,0.301029996,3.596431956,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.13008747,2.543091225,0.602059991,2.017033339,0.602059991,3.732147461,0,0,1.211726857,0,0.954242509,0,3.407626509,0,0,1.687327569,0,2.184691431,0,3.118691333,N
0,0,0,0,0,0,0,0.301029996,3.153788186,0,-0.301029996,2.113943352,0,3.153788186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,3.516589849,0,0.301029996,0.301029996,0.301029996,3.516589849,1.176091259,2.797141826,3.501951696,-0.176091259,1.602059991,1,4.768419581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.543040257,0,0,1.959041392,0,3.506828085,0.301029996,0,3.850868922,-0.301029996,2.198657087,0,3.850868922,N
0.301029996,3.295298359,0,0,0.903089987,0.301029996,3.596935445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,2.295279585,2.461486223,0.602059991,2.209515015,0.602059991,3.998641365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,3.17356616,0,0,2.155336037,0,3.17356616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0.699160795,0,0,1.944482672,0,2.662948622,0,0,0,0,0,0,0,0.301029996,0,1.733712076,-0.301029996,0.84509804,0,3.396469907,N
0.301029996,2.253334979,0,-0.301029996,1.72427587,0,3.457454962,0,0,0,0,0,0,0,0,0,3.407626509,0,0,0,3.407626509,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.408239965,0,0,0.698970004,0,3.408239965,0,0,0,0,0,0,0,N
0,0,0,0,0,0,0,0.301029996,1.565250238,0,-0.301029996,2.146128036,0,2.996614002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
