B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4
0,0,0,0,0,0,0,0,0,0,1.575635025,0,0,0,0,0
0,1.707350656,0,0,0,0,0,0,0,1.613857311,3.699679276,0.301029996,0,0,3.990366945,0.301029996
0.602059991,3.655881434,1.789640287,0.176091259,0,0,0,0,0,3.5472547,0,0.301029996,0,0,2.487021483,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.093560719,0,0.301029996
0,0,0,0,0,1.487469529,1.174273627,0.301029996,0,0,1.397407725,0,0.602059991,0,2.918243348,0
0.301029996,3.058472366,1.974058898,0,0,0,1.764689695,0,0,0,3.715514111,0,0,0,2.08843406,0
0,1.288488721,0.96035264,0.301029996,0,0,3.243863772,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.680335513,0,0
0,0,0,0,0,0,0,0,0,3.219057959,1.940873318,0.301029996,0.301029996,0,1.669471836,-0.301029996
0,1.350315635,0,0,0,0,0,0,0,3.6787818,0,0,0,0,0,0
0,3.163475845,0,0,0,0,0,0,0,2.890398048,3.207468316,0.477121255,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,3.626902714,3.715514111,0,0,0,0,0
0,1.166678131,0,0.301029996,0,0,0,0,0,0,1.794108662,0,0,0,0,0
0,1.33389265,0,0.301029996,0.301029996,1.502337429,3.155354746,0.176091259,0,0,3.587035592,0.301029996,0.301029996,1.306883047,1.761258193,0.176091259
0.477121255,1.589643456,2.875662779,-0.176091259,0,0,1.912529537,0.477121255,0,0,2.892526655,0.602059991,0.301029996,3.245512668,4.081575047,0.176091259
0,2.679267183,2.718395704,0.602059991,0,0,0,0,0,0,0,0,0,0,2.919949295,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.799589779,0,0.477121255
0,0,0,0,0,0,0,0,0,0,0,0,0,3.202461735,0,0
0.477121255,2.734769694,0,-0.176091259,0.301029996,0,2.6404317,0,0,0,1.442227398,0,0,0,3.400110109,0.301029996
0,0,0,0,0,0,0,0,0,0,3.01768135,0,0,0,1.374999051,0
0,0,0,0,0.301029996,0,3.755293519,-0.301029996,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.9335321,0,0
0,0,0,0,0,3.243863772,0,0,0,0,0,0,0,0,0,0
0.477121255,0,3.544277526,0,0,0,0,0,0,0,0,0,0,1.507809408,1.820427999,0.698970004
0,0,0,0,0.698970004,0,1.861044698,-0.698970004,0.77815125,2.329279291,2.909849047,-0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.301029996,2.026370476,1.051152522,0
0,1.527279295,1.958374941,0.602059991,0.301029996,0,1.877923791,0,0,0,1.615467704,0.301029996,0,2.944482672,3.408333676,0.301029996
0,0.555738653,0,0,0,0,0,0,0,0,3.39707055,0,0,0,0,0
0,0,0,0,0,2.531478917,0,0,0,0,0,0,0,0,0,0
0,2.903196158,2.882381107,0.301029996,0,0,2.954830947,0,0,0,0,0,0,1.678081611,3.356995562,0.301029996
0,0,0,0,0.477121255,2.80785808,2.74419297,-0.176091259,0,0,0,0,0.698970004,2.139580858,0.89852677,-0.22184875
0,3.510764622,0,0,0.301029996,0,1.615348207,0,0.301029996,2.495960281,2.892742613,0,0,3.305918004,3.472835111,0.477121255
0,0,0,0,0.477121255,1.371834913,0,-0.477121255,0,0,0,0,0,2.371582276,0,0.602059991
0,0,0,0,0,0,0,0,0,2.318226479,0,0,0,1.748943979,0,0.301029996
0,1.409187392,0,0,0,0,0,0,0,0,0,0,0,1.80564699,1.366940991,0.477121255
0,0,1.235624836,0.301029996,0.698970004,0,2.334715385,-0.22184875,0.477121255,0,3.041667879,-0.477121255,0,0,1.732258571,0
0,0,0,0,0,0,3.199347778,0,0.301029996,0,3.44667545,-0.301029996,0,3.185991487,3.660697912,0.301029996
