R1,F1,M1,R2,F2,M2,R3,F3,M3,R4,F4,M4
1.431363764,0.301029996,3.90644848,0,0.903089987,4.246600058,1.740362689,0.954242509,4.412697366,2.025305865,0.301029996,3.907977995
0,0,0,1.431363764,0,3.134810742,0,0,0,0,0,0
1.799340549,0,3.355710667,0,0,0,0,0,0,0,0,0
2.155336037,0,2.714808585,1.748188027,0,3.679763559,1.832508913,0,3.396469907,1.716003344,0,3.39707055
1.653212514,0.301029996,4.140069877,0,0,0,0,0,0,0,0,0
1.954242509,0,3.119375877,1.568201724,0.301029996,3.403213625,2.033423755,0,3.494802604,1.643452676,0,3.064697031
2.222716471,0,3.380211242,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.662757832,0,3.219057959,1.556302501,0.301029996,3.758826529
1.748188027,0,4.108157396,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.113943352,0,3.133538908,0,0,0
2.068185862,0,3.106300143,0,0,0,0,0,0,0,0,0
0,0,0,1.301029996,0.602059991,3.512804901,2.049218023,0,3.138173761,2.257678575,0,2.932186905
0,0,0,0.954242509,0,3.407626509,0,0,0,2.176091259,0.301029996,3.529271851
0,0,0,1.755874856,0,3.679763559,0,0,0,0.301029996,0,3.68136802
