B1,I1,C1,P1,B2,I2,C2,P2,B3,I3,C3,P3,B4,I4,C4,P4
0,0,0,0,0,0,0,0,0.301029996,2.919949295,0,-0.301029996,0,0,0,0
0.698970004,1.484359664,0,-0.698970004,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.408333676,0,0
0.301029996,2.996614002,2.695584007,0,0,3.134175291,0,0.301029996,0,0,0,0,0,0,0,0
0,1.233010103,1.057606881,0.477121255,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,3.731863959,0,-0.301029996,0,0,0,0
0.477121255,0,1.860115545,-0.477121255,0,0,0,0,0,0,0,0,0,1.383027811,0,0
0,0,0,0,0,0,0,0,0,3.6787818,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,3.268157915,0,-0.301029996,0,0,0,0
0,0,0,0,0.301029996,0,2.38643721,-0.301029996,0.477121255,1.96507089,0,-0.477121255,0,0,0,0
0,3.260972758,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,3.443817832,0,0,0,0,0,0,0,2.569386076,0,0,0,1.37044406,1.109609865,0.301029996
0,2.987384586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.973740269,0,0,0,2.805566518,0,0,0,0,0,0.301029996,2.254176697,2.132996791,0.176091259
0.301029996,2.413778589,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,3.214381514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.662948622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.134175291,0.301029996,0,0,3.103815061,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,0,2.365067928,-0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,2.862473197,0,0.477121255,0,0,0,0
0,0.817181494,0,0,0,0,0,0,0,0,0,0,0,1.438029158,0.944175377,0.301029996
0,3.193124598,0,0,0,0,3.322789422,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2.250615731,0,0.477121255,0,0,0,0,0,0,0,0
0,3.142787837,0,0,0,0,0,0,0,0,0,0,0,0,1.449557926,0
0,0,0,0,0,0,0,0,0,3.103396943,0,0,0,0,0,0
0,3.479210808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.994498718,0,0.477121255,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,1.815954466,0,-0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,1.801967579,0,0,0.301029996,0,2.516987941,-0.301029996
0.301029996,2.090121067,0,-0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.329279291,0,0,0,0,0,0
0,3.685049427,0,0,0,1.989567479,0,0,0,0,1.682211863,0,0,0,0,0
0,0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.200960356,0
0,0,0,0,0.477121255,2.468609437,0,-0.477121255,0,0,0,0,0.301029996,3.40930816,0,-0.301029996
0,3.13008747,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.962370741,0,0.301029996,0,1.3993008,2.787671253,0.602059991
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.297870369,0
0,0,0,0,0,0,0,0,0,1.764585282,1.483960679,0.477121255,0,0,0,0
0,0,0,0,0,0,0,0,0,1.081739483,0,0,0,0,0,0
0,1.583813982,0,0.301029996,0.301029996,0,2.065203828,-0.301029996,0,0,0,0,0,0,0,0
0,3.172705261,0,0,0,0,0,0,0,0,0,0,0,3.185991487,3.310930224,0.301029996
0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,2.10730368,0,-0.477121255
0,0,0,0,0,0,0,0,0,1.283275951,0,0.301029996,0,0,0,0
0,1.455670776,0,0.301029996,0,1.687467205,1.766742517,0.301029996,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.969554195,0,0,0,3.198522983,0,0
0,0,0,0,0,3.52234422,0,0,0,0,0,0,0,0,0,0
0,2.695584007,0,0,0,0,0,0,0,1.136382891,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.776268653,1.25013126,0.301029996,0,0,0,0
0,2.662948622,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.036030835,0,0.301029996,0,0,0,0,0,0,1.976921267,0,0,0,0,0
0,3.474596156,0,0,0,0,1.671860539,0.301029996,0.301029996,0,3.419721329,-0.301029996,0,0,0,0
0,1.644840414,1.146606861,0.477121255,0,0,3.762211793,0,0,0,0,0,0,0,2.182136035,0
0,0,0,0,0,3.097725445,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.411049154,0,0
0,1.007238409,0,0,0,0,0,0,0,3.596607567,0,0,0,1.877855193,2.074851255,0.301029996
0,1.486634793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.172705261,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,3.555642743,3.409187392,0.602059991,0,0,3.407626509,0,0,0,0,0,0.477121255,0,2.088627402,-0.176091259
0,0,0,0,0,0,0,0,0,0,0,0,0,2.587575776,0,0
0,3.519651466,0,0.477121255,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1.538394789,0,0,0,0,0,0.477121255,1.815599872,3.250467237,0
0,0,0,0,0,0,0,0,0,2.931339283,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.315926935,0,0,0,0,0,0
0,2.050906224,0,0,0,0,1.443838681,0,0,0,0,0,0.301029996,1.928304152,2.354276519,0.176091259
0,3.390383061,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2.250113625,1.705078146,0.301029996
0,1.316296548,0,0,0,0,0,0,0,2.129904624,0,0.477121255,0.477121255,1.196294645,1.084243464,0
0,0,0,0,0,0,0,0,0.301029996,3.017196484,0,-0.301029996,0,0,0,0
0,1.759019608,0,0,0,3.097725445,3.407626509,0.301029996,0,0,0,0,0,0,0,0
0.301029996,1.842395661,0,0,0,0,2.74419297,0,0,0,2.935017461,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,2.204340555,0,0,0,0,0,0
0,0,0,0,0,1.208449976,0,0,0,0,0,0,0.301029996,0,3.39707055,-0.301029996
0,1.714711421,0,0,0,0,2.164283539,0,0,0,3.596607567,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1.59773,0,0,0,0,0
0,0,0,0,0,0,0.857702245,0,0,0,0,0,0.477121255,3.71207915,0,-0.477121255
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.616632873,0
0,0,0,0,0,0,2.397165716,0.477121255,0,0,0,0,0,3.411049154,3.905666118,0.602059991
0,0,0,0,0,0,0,0,0,3.245512668,0,0,0,0,0,0
0,0.519933822,0,0,0,0,0,0,0,1.81377706,0,0.477121255,0,0,0,0
0,2.839951387,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.077298648,0,0,0,0,1.314911991,0
0,0,0,0,0,0,0,0,0,0,0,0,0.477121255,2.919120406,1.596901111,-0.176091259
0,3.016042646,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3.303169124,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.301029996,2.67959696,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3.43358179,0,0.477121255,0,0,0,0,0,0,0,0
0,3.317072642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1.935110867,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301029996,4.066187702,0,0,0.301029996,0,3.140405056,-0.301029996,0,0,0,0,0.477121255,0,3.469454558,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.356995562,0
0,0,0,0,0,0,2.74419297,0,0,0,1.591415956,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0.301029996,2.982410551,0,0,0,0,0,0
0.477121255,2.140981383,1.310387688,-0.176091259,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.200960356,0,0
0,2.855192201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.201660545,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.270274697,0,0,0.301029996,1.744142168,0,-0.301029996
0,0,0,0,0.301029996,2.441728188,0,-0.301029996,0,3.32566454,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.540075229,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.408333676,0,0
0,0,0,0,0,0,0,0,0,0,3.573656945,0,0,0,0,0
0,0,0.708706113,0,0,0,0,0,0,0,0,0,0,0,1.375881251,0
0.477121255,3.015838581,4.39981221,0.124938736,0,0,0,0,0,1.694977189,2.605505236,0.301029996,0,2.297326693,0,0.301029996
0,0,0,0,0,0,0,0,0,2.931339283,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.649961075,0,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,1.915196533,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2.540075229,0,0,0,0,0
0,0,0,0,0,0,1.280521711,0,0,0,0,0,0,0,1.196146071,0
0,0,0,0,0,0.776039096,0,0.301029996,0,0,2.897277116,0.301029996,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3.076721809,0,0,0,0,0
0,0,0,0,0,1.258477645,0,0.301029996,0,0,0,0,0,0,0,0
0.477121255,3.255462733,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.587471795,0,0.301029996,0,0,0,0
0,0,0,0,0,0,2.82989221,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1.230731417,0,0,0,0,3.678081611,0
0,3.426847698,0,0.301029996,0,0,0,0,0,0,0,0,0,0,0,0
0,0.70390723,0,0,0,0,0,0,0,0,0,0,0,3.359667916,0,0
0.301029996,1.876474002,0,0,0,0,0,0,0,0,0,0,0,0.94179769,0,0
0,1.453859771,0,0,0,0,0,0,0,0,1.082698032,0,0,0,0,0
0,0,0,0,0,1.567772799,0,0,0,0,0,0,0,0,0,0
0,0,2.714808585,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3.193772609,0,0,0.477121255,0,3.247530377,-0.176091259
0,0,2.714808585,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2.263495331,0,0.477121255,0,0,3.200960356,0
0,3.172705261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.584678882,0,0,0.301029996,3.679763559,0,-0.301029996,0,0,0,0,0,0,1.96017621,0
0,0,0,0,0,3.097725445,0,0,0,0,0,0,0,0,0,0
0,3.306178729,0,0,0,0,0,0,0,0,0,0,0,1.324132017,0,0
0.477121255,1.616795702,0,-0.477121255,0,0,0,0,0,0,0,0,0,0,0,0
0.477121255,3.567277092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3.39624166,0,0
